13;" N 53° 29' 29"" ";" E 008° 29' 09"" "; 05.10.2021 ; 09:53 ;199115;" N 53° 03' 49"" ";" E 008° 46' 58"" "; 05.10.2021 ; 10:53 ;199191;1;" """"";#WERT!
14;" N 53° 03' 51"" ";" E 008° 46' 57"" "; 05.10.2021 ; 11:15 ;199191;" N 53° 29' 24"" ";" E 008° 28' 01"" "; 05.10.2021 ; 12:33 ;199262;1;" """"";
15;" N 53° 29' 24"" ";" E 008° 28' 02"" "; 05.10.2021 ; 12:44 ;199262;" N 53° 29' 24"" ";" E 008° 28' 02"" "; 05.10.2021 ; 12:44 ;199262;1;" """"";
16;" N 53° 29' 27"" ";" E 008° 28' 09"" "; 05.10.2021 ; 12:53 ;199262;" N 53° 29' 51"" ";" E 008° 28' 03"" "; 05.10.2021 ; 12:56 ;199264;1;" """"";
17;" N 53° 29' 51"" ";" E 008° 28' 02"" "; 05.10.2021 ; 18:20 ;199264;" N 53° 34' 21"" ";" E 008° 21' 49"" "; 05.10.2021 ; 18:36 ;199279;0;" """"";
18;" N 53° 34' 22"" ";" E 008° 21' 49"" "; 05.10.2021 ; 18:45 ;199279;" N 53° 31' 10"" ";" E 008° 16' 32"" "; 05.10.2021 ; 20:48 ;199302;0;" """"";
19;" N 53° 31' 10"" ";" E 008° 16' 32"" "; 05.10.2021 ; 20:48 ;199302;" N 53° 34' 21"" ";" E 008° 21' 49"" "; 05.10.2021 ; 21:02 ;199316;0;" """"";
20;" N 53° 34' 22"" ";" E 008° 21' 49"" "; 06.10.2021 ; 05:06 ;199316;" N 53° 29' 46"" ";" E 008° 28' 43"" "; 06.10.2021 ; 05:28 ;199332;0;" """"";
21;" N 53° 29' 50"" ";" E 008° 28' 43"" "; 06.10.2021 ; 06:18 ;199332;" N 53° 29' 51"" ";" E 008° 28' 03"" "; 06.10.2021 ; 06:20 ;199333;0;" """"";
22;" N 53° 29' 51"" ";" E 008° 28' 02"" "; 06.10.2021 ; 09:31 ;199333;" N 53° 29' 55"" ";" E 008° 28' 37"" "; 06.10.2021 ; 09:35 ;199334;0;" """"";
23;" N 53° 29' 54"" ";" E 008° 28' 38"" "; 06.10.2021 ; 09:53 ;199334;" N 53° 29' 52"" ";" E 008° 28' 01"" "; 06.10.2021 ; 09:56 ;199335;0;" """"";
24;" N 53° 29' 51"" ";" E 008° 28' 02"" "; 06.10.2021 ; 14:00 ;199335;" N 53° 13' 32"" ";" E 008° 35' 38"" "; 06.10.2021 ; 14:40 ;199384;1;" """"";
25;" N 53° 13' 32"" ";" E 008° 35' 38"" "; 06.10.2021 ; 16:59 ;199384;" N 53° 29' 52"" ";" E 008° 28' 01"" "; 06.10.2021 ; 17:36 ;199432;1;" """"";
26;" N 53° 29' 51"" ";" E 008° 28' 02"" "; 06.10.2021 ; 17:48 ;199432;" N 53° 34' 22"" ";" E 008° 21' 49"" "; 06.10.2021 ; 18:04 ;199448;0;" """"";
27;" N 53° 34' 22"" ";" E 008° 21' 49"" "; 07.10.2021 ; 05:31 ;199448;" N 53° 29' 52"" ";" E 008° 28' 01"" "; 07.10.2021 ; 05:50 ;199463;0;" """"";
28;" N 53° 29' 51"" ";" E 008° 28' 02"" "; 07.10.2021 ; 06:51 ;199463;" N 53° 33' 44"" ";" E 008° 33' 58"" "; 07.10.2021 ; 07:29 ;199502;1;" """"";
29;" N 53° 33' 44"" ";" E 008° 33' 58"" "; 07.10.2021 ; 08:40 ;199502;" N 53° 29' 52"" ";" E 008° 28' 01"" "; 07.10.2021 ; 09:22 ;199538;1;" """"";
30;" N 53° 29' 51"" ";" E 008° 28' 02"" "; 07.10.2021 ; 09:56 ;199538;" N 53° 13' 32"" ";" E 008° 35' 38"" "; 07.10.2021 ; 10:34 ;199588;1;" """"";
31;" N 53° 13' 32"" ";" E 008° 35' 38"" "; 07.10.2021 ; 14:06 ;199588;" N 53° 29' 52"" ";" E 008° 28' 01"" "; 07.10.2021 ; 14:43 ;199636;1;" """"";
32;" N 53° 29' 52"" ";" E 008° 28' 01"" "; 07.10.2021 ; 16:33 ;199636;" N 53° 43' 59"" ";" E 008° 37' 06"" "; 07.10.2021 ; 17:12 ;199694;1;" """"";
33;" N 53° 43' 59"" ";" E 008° 37' 06"" "; 07.10.2021 ; 19:59 ;199694;" N 53° 29' 52"" ";" E 008° 28' 00"" "; 07.10.2021 ; 21:24 ;199740;1;" """"";
34;" N 53° 29' 52"" ";" E 008° 28' 01"" "; 08.10.2021 ; 11:29 ;199740;" N 53° 13' 32"" ";" E 008° 35' 38"" "; 08.10.2021 ; 12:08 ;199789;1;" """"";
